id	name	city
inst-bpp	BPP University	London
inst-uel	University of East London	London
inst-uwl	University of West London	London
inst-wolverhampton	University of Wolverhampton	Wolverhampton
inst-ravensbourne	Ravensbourne University London	London
inst-coventry	Coventry University	Coventry
inst-anglia-ruskin-university	Anglia Ruskin University	Cambridge
inst-aston-university	Aston University	Birmingham
inst-bangor-university	Bangor University	Bangor
inst-birmingham-city-university	Birmingham City University	Birmingham
inst-bournemouth-university	Bournemouth University	Poole
inst-brunel-university-london	Brunel University London	London
inst-canterbury-christ-church-university	Canterbury Christ Church University	Canterbury
inst-cardiff-metropolitan-university	Cardiff Metropolitan University	Cardiff
inst-cardiff-university	Cardiff University	Cardiff
inst-city-st-georges-university-of-london	City St George’s, University of London	London
inst-coventry-university-london	Coventry University London	London
inst-cranfield-university	Cranfield University	Cranfield
inst-de-montfort-university	De Montfort University	Leicester
inst-edge-hill-university	Edge Hill University	Ormskirk
inst-edinburgh-napier-university	Edinburgh Napier University	Edinburgh
inst-glasgow-caledonian-university	Glasgow Caledonian University	Glasgow
inst-goldsmiths-university-of-london	Goldsmiths, University of London	London
inst-heriot-watt-university	Heriot-Watt University	Edinburgh
inst-keele-university	Keele University	Keele
inst-kingston-university	Kingston University	London
inst-leeds-beckett-university	Leeds Beckett University	Leeds
inst-leeds-trinity-university	Leeds Trinity University	Leeds
inst-liverpool-john-moores-university	Liverpool John Moores University	Liverpool
inst-london-metropolitan-university	London Metropolitan University	London
inst-london-south-bank-university	London South Bank University	London
inst-manchester-metropolitan-university	Manchester Metropolitan University	Manchester
inst-middlesex-university	Middlesex University	London
inst-newcastle-university	Newcastle University	Newcastle upon Tyne
inst-northumbria-university	Northumbria University	Newcastle upon Tyne
inst-nottingham-trent-university	Nottingham Trent University	Nottingham
inst-oxford-brookes-university	Oxford Brookes University	Oxford
inst-queen-margaret-university	Queen Margaret University	Edinburgh
inst-queen-mary-university-of-london	Queen Mary University of London	London
inst-robert-gordon-university	Robert Gordon University	Aberdeen
inst-sheffield-hallam-university	Sheffield Hallam University	Sheffield
inst-solent-university	Solent University	Southampton
inst-staffordshire-university	Staffordshire University	Stoke-on-Trent
inst-swansea-university	Swansea University	Swansea
inst-teesside-university	Teesside University	Middlesbrough
inst-ulster-university	Ulster University	Belfast
inst-university-of-aberdeen	University of Aberdeen	Aberdeen
inst-university-of-bedfordshire	University of Bedfordshire	Luton
inst-university-of-birmingham	University of Birmingham	Birmingham
inst-university-of-bolton	University of Bolton	Bolton
inst-university-of-bradford	University of Bradford	Bradford
inst-university-of-brighton	University of Brighton	Brighton
inst-university-of-bristol	University of Bristol	Bristol
inst-university-of-central-lancashire	University of Central Lancashire	Preston
inst-university-of-chester	University of Chester	Chester
inst-university-of-derby	University of Derby	Derby
inst-university-of-dundee	University of Dundee	Dundee
inst-university-of-east-anglia	University of East Anglia	Norwich
inst-university-of-essex	University of Essex	Colchester
inst-university-of-exeter	University of Exeter	Exeter
inst-university-of-glasgow	University of Glasgow	Glasgow
inst-university-of-greenwich	University of Greenwich	London
inst-university-of-hertfordshire	University of Hertfordshire	Hatfield
inst-university-of-huddersfield	University of Huddersfield	Huddersfield
inst-university-of-hull	University of Hull	Hull
inst-university-of-kent	University of Kent	Canterbury
inst-university-of-leeds	University of Leeds	Leeds
inst-university-of-leicester	University of Leicester	Leicester
inst-university-of-lincoln	University of Lincoln	Lincoln
inst-university-of-liverpool	University of Liverpool	Liverpool
inst-university-of-manchester	University of Manchester	Manchester
inst-university-of-northampton	University of Northampton	Northampton
inst-university-of-nottingham	University of Nottingham	Nottingham
inst-university-of-plymouth	University of Plymouth	Plymouth
inst-university-of-portsmouth	University of Portsmouth	Portsmouth
inst-university-of-reading	University of Reading	Reading
inst-university-of-roehampton	University of Roehampton	London
inst-university-of-salford	University of Salford	Salford
inst-university-of-sheffield	University of Sheffield	Sheffield
inst-university-of-southampton	University of Southampton	Southampton
inst-university-of-south-wales	University of South Wales	Pontypridd
inst-university-of-stirling	University of Stirling	Stirling
inst-university-of-strathclyde	University of Strathclyde	Glasgow
inst-university-of-sunderland	University of Sunderland	Sunderland
inst-university-of-surrey	University of Surrey	Guildford
inst-university-of-sussex	University of Sussex	Brighton
inst-university-of-the-west-of-england	University of the West of England	Bristol
inst-university-of-westminster	University of Westminster	London
inst-university-of-winchester	University of Winchester	Winchester
inst-university-of-worcester	University of Worcester	Worcester
inst-university-of-york	University of York	York
inst-wrexham-university	Wrexham University	Wrexham
inst-york-st-john-university	York St John University	York
inst-arden-university-london	Arden University, London	London
inst-arden-university-manchester	Arden University, Manchester	Manchester
