#,Topic,Question,Sources,Tiers,Keep (Y/N),Source 1,URL 1,Source 2,URL 2,Other wordings seen
1,3. Why this course,Why did you choose this course?,9,"agent, primary",,Birmingham City University — Credibility interviews,https://www.bcu.ac.uk/international/preparing-for-the-uk/getting-your-visa/credibility-interviews,Meridean Overseas Education Consultants — Pre-CAS Interview Preparation,https://www.meridean.org/blog/pre-cas-interview,Why did you choose your course?
2,1. Why the UK,Why do you want to study at University of Kent?,8,"agent, primary",,Meridean Overseas Education Consultants — Pre-CAS Interview Preparation,https://www.meridean.org/blog/pre-cas-interview,Middlesex University — Preparing for your credibility interview,https://www.mdx.ac.uk/international/student-visas/your-interview/,Why do you want to study in the UK?
3,1. Why the UK,Why have you chosen your course of study?,6,"agent, primary",,NWC Education (Nepal) — Pre-CAS Interview Guide for Nepali Students,https://nwc.education/pre-cas-interview-questions-preparation-for-nepali/,Northumbria University — Credibility interviews,https://www.northumbria.ac.uk/study-at-northumbria/immigration/credibility-interviews/,What course have you chosen and why? | Why have you chosen this course? | Why have you chosen to study in the UK?
4,3. Why this course,How will your course be taught and assessed?,5,primary,,Coventry University — Credibility interviews,https://www.coventry.ac.uk/international-students-hub/coming-to-the-uk/your-visa/credibility-interviews/,SOAS University of London — Credibility Interviews: Student Visa Applications,https://www.soas.ac.uk/sites/default/files/2022-10/Credibility%20Interviews-%20student%20visa%20applications_0.pdf,How is your course assessed?
5,2. Why this university,Which other colleges / universities have you considered?,5,"agent, primary",,SOAS University of London — Credibility Interviews: Student Visa Applications,https://www.soas.ac.uk/sites/default/files/2022-10/Credibility%20Interviews-%20student%20visa%20applications_0.pdf,Sheffield Hallam University — Credibility interview practice questions (PDF),https://www.shu.ac.uk/-/media/home/international/files/int-credibility-interview-practice-qs.pdf,Have you considered other colleges/Universities? | What other universities have you considered in the UK? | Which other colleges/universities have you considered?
6,8. Accommodation & living,How much will your accommodation cost?,4,primary,,Middlesex University — Preparing for your credibility interview,https://www.mdx.ac.uk/international/student-visas/your-interview/,Oxford Brookes University — UKVI Credibility interviews,https://www.brookes.ac.uk/students/isat/visas/student-visa/credibility-interviews,
7,6. Education history,Why have you chosen this course and how does it relate to your previous study?,4,"agent, primary",,Sheffield Hallam University — Credibility interview practice questions (PDF),https://www.shu.ac.uk/-/media/home/international/files/int-credibility-interview-practice-qs.pdf,Staffordshire University — Guide to Credibility Interviews (PDF),https://www.staffs.ac.uk/international/pdf/guide-to-credibility-interviews.pdf,Why did you choose this course and how does it relate to your previous study?
8,6. Education history,You have previously studied in the UK - why have you chosen to return?,4,"agent, primary",,Birmingham City University — Credibility interviews,https://www.bcu.ac.uk/international/preparing-for-the-uk/getting-your-visa/credibility-interviews,Road To Abroad — Credibility Interview for UK: Sample Questions and Answers,https://roadtoabroad.co.in/credibility-interview-for-uk/,You have previously studied in the UK – why have you chosen to return?
9,4. Finance,How will you fund your studies?,4,"agent, primary",,Birmingham City University — Credibility interviews,https://www.bcu.ac.uk/international/preparing-for-the-uk/getting-your-visa/credibility-interviews,Road To Abroad — Credibility Interview for UK: Sample Questions and Answers,https://roadtoabroad.co.in/credibility-interview-for-uk/,
10,5. Post-study plans,How do your studies fit in with your career plans?,4,"agent, primary",,Birmingham City University — Credibility interviews,https://www.bcu.ac.uk/international/preparing-for-the-uk/getting-your-visa/credibility-interviews,Road To Abroad — Credibility Interview for UK: Sample Questions and Answers,https://roadtoabroad.co.in/credibility-interview-for-uk/,How do your studies fit into your career plans?
11,7. Study gap,"You have had a (long) break in your studies, why are you returning to study now?",4,"agent, primary",,Birmingham City University — Credibility interviews,https://www.bcu.ac.uk/international/preparing-for-the-uk/getting-your-visa/credibility-interviews,Road To Abroad — Credibility Interview for UK: Sample Questions and Answers,https://roadtoabroad.co.in/credibility-interview-for-uk/,"You have had a long break from your studies. Why are you returning to study now? | You have had a long break in your studies, why are you returning to study now?"
12,3. Why this course,What modules will you study?,4,"agent, primary",,Edwise Foundation (Nepal) — Pre-CAS Interview for Nepali Students,https://edwisefoundation.com/pre-cas-interview-nepali-students/,Middlesex University — Preparing for your credibility interview,https://www.mdx.ac.uk/international/student-visas/your-interview/,
13,3. Why this course,How long does your course last?,4,"agent, primary",,Middlesex University — Preparing for your credibility interview,https://www.mdx.ac.uk/international/student-visas/your-interview/,Staffordshire University — Guide to Credibility Interviews (PDF),https://www.staffs.ac.uk/international/pdf/guide-to-credibility-interviews.pdf,How long is the course? | How long is your course?
14,3. Why this course,What qualification will you receive when you graduate?,4,"agent, primary",,Middlesex University — Preparing for your credibility interview,https://www.mdx.ac.uk/international/student-visas/your-interview/,Staffordshire University — Guide to Credibility Interviews (PDF),https://www.staffs.ac.uk/international/pdf/guide-to-credibility-interviews.pdf,What qualification will you receive?
15,8. Accommodation & living,Where will you live in the UK?,3,"agent, primary",,Birmingham City University — Credibility interviews,https://www.bcu.ac.uk/international/preparing-for-the-uk/getting-your-visa/credibility-interviews,Edwise Foundation (Nepal) — Pre-CAS Interview for Nepali Students,https://edwisefoundation.com/pre-cas-interview-nepali-students/,Where will you live?
16,4. Finance,Who will be financing the costs of your studies?,3,"agent, primary",,Northumbria University — Credibility interviews,https://www.northumbria.ac.uk/study-at-northumbria/immigration/credibility-interviews/,SOAS University of London — Credibility Interviews: Student Visa Applications,https://www.soas.ac.uk/sites/default/files/2022-10/Credibility%20Interviews-%20student%20visa%20applications_0.pdf,How are you financing your studies? | Who is financing your studies?
17,4. Finance,Do you know how you will you pay for your studies and living costs?,3,primary,,Middlesex University — Preparing for your credibility interview,https://www.mdx.ac.uk/international/student-visas/your-interview/,University of Aberdeen — Credibility Interview,https://www.abdn.ac.uk/study/international/credibility-interview-2559.php,How will you pay for your studies and living costs? | How will you pay for your studies/living costs?
18,4. Finance,How are you funding your studies?,3,"agent, primary",,Sheffield Hallam University — Credibility interview practice questions (PDF),https://www.shu.ac.uk/-/media/home/international/files/int-credibility-interview-practice-qs.pdf,University of Aberdeen — Credibility Interview,https://www.abdn.ac.uk/study/international/credibility-interview-2559.php,Who is funding your studies?
19,4. Finance,"If the costs of pursuing your course of study are higher in the UK than in your home country, why have you decided to incur the extra costs involved with studying in the UK?",3,"agent, primary",,Road To Abroad — Credibility Interview for UK: Sample Questions and Answers,https://roadtoabroad.co.in/credibility-interview-for-uk/,SOAS University of London — Credibility Interviews: Student Visa Applications,https://www.soas.ac.uk/sites/default/files/2022-10/Credibility%20Interviews-%20student%20visa%20applications_0.pdf,"The costs of pursuing your course of study are higher in the UK than in your home country, why have you decided to incur the extra costs by studying in the UK?"
20,4. Finance,What are your parents' annual income?,3,"agent, primary",,Leverage Edu Learn — Pre-CAS Interview Prep: Commonly Asked Questions,https://leverageedu.com/learn/visa-pre-cas-interview/,University of Reading — UKVI interview information for prospective students,https://www.reading.ac.uk/essentials/International/Visa-and-immigration/credibility-interviews,What is the annual income of your parents? | What is your parents' annual income?
21,5. Post-study plans,What are your future plans?,3,"agent, primary",,Meridean Overseas Education Consultants — Pre-CAS Interview Preparation,https://www.meridean.org/blog/pre-cas-interview,University of Aberdeen — Credibility Interview,https://www.abdn.ac.uk/study/international/credibility-interview-2559.php,What are your future career plans?
22,5. Post-study plans,What is the relevance of the course to your future career path?,3,"agent, primary",,Sheffield Hallam University — Credibility interview practice questions (PDF),https://www.shu.ac.uk/-/media/home/international/files/int-credibility-interview-practice-qs.pdf,Staffordshire University — Guide to Credibility Interviews (PDF),https://www.staffs.ac.uk/international/pdf/guide-to-credibility-interviews.pdf,
23,5. Post-study plans,Are you planning to stay in the UK on completion of your course to study for a higher award?,3,"agent, primary",,Sheffield Hallam University — Credibility interview practice questions (PDF),https://www.shu.ac.uk/-/media/home/international/files/int-credibility-interview-practice-qs.pdf,Staffordshire University — Guide to Credibility Interviews (PDF),https://www.staffs.ac.uk/international/pdf/guide-to-credibility-interviews.pdf,"After your course, are you planning to stay in the UK to study for a higher award? | Are you planning to stay in the UK on completion to study for a higher award?"
24,9. Visa & compliance,Have you had any visa refusals in the past?,3,"agent, primary",,Leverage Edu Learn — Pre-CAS Interview Prep: Commonly Asked Questions,https://leverageedu.com/learn/visa-pre-cas-interview/,Meridean Overseas Education Consultants — Pre-CAS Interview Preparation,https://www.meridean.org/blog/pre-cas-interview,Do you have any past visa refusals? | Have you had any visa refusals?
25,9. Visa & compliance,Are you thinking of transferring to another institution on completion of your course?,3,"agent, primary",,Sheffield Hallam University — Credibility interview practice questions (PDF),https://www.shu.ac.uk/-/media/home/international/files/int-credibility-interview-practice-qs.pdf,Staffordshire University — Guide to Credibility Interviews (PDF),https://www.staffs.ac.uk/international/pdf/guide-to-credibility-interviews.pdf,"After your course, are you thinking of transferring to another institution? | Are you thinking of transferring to another institution on completing this course?"
26,7. Study gap,Can you explain the gaps in your study/professional history?,3,"agent, primary",,Sheffield Hallam University — Credibility interview practice questions (PDF),https://www.shu.ac.uk/-/media/home/international/files/int-credibility-interview-practice-qs.pdf,Staffordshire University — Guide to Credibility Interviews (PDF),https://www.staffs.ac.uk/international/pdf/guide-to-credibility-interviews.pdf,How do you explain the gaps in your study history? | How do you explain the gaps in your study/professional history?
27,3. Why this course,What other courses (if any) did you consider studying?,3,primary,,Middlesex University — Preparing for your credibility interview,https://www.mdx.ac.uk/international/student-visas/your-interview/,University of Aberdeen — Credibility Interview,https://www.abdn.ac.uk/study/international/credibility-interview-2559.php,What other courses did you consider?
28,3. Why this course,How is your chosen course assessed?,3,"agent, primary",,Sheffield Hallam University — Credibility interview practice questions (PDF),https://www.shu.ac.uk/-/media/home/international/files/int-credibility-interview-practice-qs.pdf,Staffordshire University — Guide to Credibility Interviews (PDF),https://www.staffs.ac.uk/international/pdf/guide-to-credibility-interviews.pdf,
29,3. Why this course,Does this course offer any professional recognition?,3,"agent, primary",,Sheffield Hallam University — Credibility interview practice questions (PDF),https://www.shu.ac.uk/-/media/home/international/files/int-credibility-interview-practice-qs.pdf,Staffordshire University — Guide to Credibility Interviews (PDF),https://www.staffs.ac.uk/international/pdf/guide-to-credibility-interviews.pdf,
30,1. Why the UK,What are the benefits of studying in the UK compared to your home country or other countries that mean it is worth the cost to you?,3,primary,,Oxford Brookes University — UKVI Credibility interviews,https://www.brookes.ac.uk/students/isat/visas/student-visa/credibility-interviews,SOAS University of London — Credibility Interviews: Student Visa Applications,https://www.soas.ac.uk/sites/default/files/2022-10/Credibility%20Interviews-%20student%20visa%20applications_0.pdf,What are the benefits of studying in the UK compared to your home country or any other countries? | What are the benefits of studying in the UK compared to your home country?
31,2. Why this university,What other universities did you consider? Why?,3,primary,,Coventry University — Credibility interviews,https://www.coventry.ac.uk/international-students-hub/coming-to-the-uk/your-visa/credibility-interviews/,University of Bradford — Credibility checks: Student visas,https://www.bradford.ac.uk/international/support/visa-support/student-visas/credibility-checks/,Which other Universities did you consider? | Which other universities did you consider?
32,2. Why this university,How did you find out about it?,3,"agent, primary",,Sheffield Hallam University — Credibility interview practice questions (PDF),https://www.shu.ac.uk/-/media/home/international/files/int-credibility-interview-practice-qs.pdf,Staffordshire University — Guide to Credibility Interviews (PDF),https://www.staffs.ac.uk/international/pdf/guide-to-credibility-interviews.pdf,
33,2. Why this university,Do you know anyone else who has already studied there?,3,"agent, primary",,Sheffield Hallam University — Credibility interview practice questions (PDF),https://www.shu.ac.uk/-/media/home/international/files/int-credibility-interview-practice-qs.pdf,Staffordshire University — Guide to Credibility Interviews (PDF),https://www.staffs.ac.uk/international/pdf/guide-to-credibility-interviews.pdf,Do you know anyone who has already studied there?
34,2. Why this university,Why did you choose Birmingham City University (BCU)?,3,"agent, primary",,Birmingham City University — Credibility interviews,https://www.bcu.ac.uk/international/preparing-for-the-uk/getting-your-visa/credibility-interviews,Meridean Overseas Education Consultants — Pre-CAS Interview Preparation,https://www.meridean.org/blog/pre-cas-interview,Why did you choose Roehampton University? | Why did you choose this university?
35,8. Accommodation & living,Where do you plan to live during your studies at Northumbria University?,2,primary,,Northumbria University — Credibility interviews,https://www.northumbria.ac.uk/study-at-northumbria/immigration/credibility-interviews/,Oxford Brookes University — UKVI Credibility interviews,https://www.brookes.ac.uk/students/isat/visas/student-visa/credibility-interviews,Where do you plan to live during your studies?
36,6. Education history,Have you studied abroad previously?,2,primary,,University of Hertfordshire — Sponsorship interview,https://www.herts.ac.uk/international/apply/offer-holder-guidance/sponsorship-interview,University of Lincoln — Pre-CAS Interview | Information for Offer Holders,https://www.lincoln.ac.uk/studywithus/internationalstudents/informationforofferholders/pre-casinterview/,What have you studied previously?
37,4. Finance,How much are the tuition fees?,2,primary,,Middlesex University — Preparing for your credibility interview,https://www.mdx.ac.uk/international/student-visas/your-interview/,University of Aberdeen — Credibility Interview,https://www.abdn.ac.uk/study/international/credibility-interview-2559.php,
38,4. Finance,Are you able to pay your tuition fees in full up front?,2,"agent, primary",,SOAS University of London — Credibility Interviews: Student Visa Applications,https://www.soas.ac.uk/sites/default/files/2022-10/Credibility%20Interviews-%20student%20visa%20applications_0.pdf,Staffordshire University — Guide to Credibility Interviews (PDF),https://www.staffs.ac.uk/international/pdf/guide-to-credibility-interviews.pdf,Would you be able to pay your tuition fees in full up front?
39,4. Finance,Have you checked the University refund policy?,2,"agent, primary",,SOAS University of London — Credibility Interviews: Student Visa Applications,https://www.soas.ac.uk/sites/default/files/2022-10/Credibility%20Interviews-%20student%20visa%20applications_0.pdf,Staffordshire University — Guide to Credibility Interviews (PDF),https://www.staffs.ac.uk/international/pdf/guide-to-credibility-interviews.pdf,Have you checked the refund policy?
40,4. Finance,How will you finance your studies (fees and living costs in the UK)?,2,primary,,University of Reading — UKVI interview information for prospective students,https://www.reading.ac.uk/essentials/International/Visa-and-immigration/credibility-interviews,University of Westminster — Credibility interviews,https://www.westminster.ac.uk/international/visas-and-advice/visas/student-visa/credibility-interviews,
41,4. Finance,How will they manage to pay for your studies in the UK and their own regular living expenses?,2,primary,,University of Reading — UKVI interview information for prospective students,https://www.reading.ac.uk/essentials/International/Visa-and-immigration/credibility-interviews,University of Westminster — Credibility interviews,https://www.westminster.ac.uk/international/visas-and-advice/visas/student-visa/credibility-interviews,How will they manage to pay for your studies in the UK and their own regular living expenses
42,4. Finance,How much money will you need per month for living expenses?,2,primary,,University of Reading — UKVI interview information for prospective students,https://www.reading.ac.uk/essentials/International/Visa-and-immigration/credibility-interviews,University of Westminster — Credibility interviews,https://www.westminster.ac.uk/international/visas-and-advice/visas/student-visa/credibility-interviews,
43,4. Finance,Will you have access to this money for the whole of your studies in the UK?,2,primary,,University of Reading — UKVI interview information for prospective students,https://www.reading.ac.uk/essentials/International/Visa-and-immigration/credibility-interviews,University of Westminster — Credibility interviews,https://www.westminster.ac.uk/international/visas-and-advice/visas/student-visa/credibility-interviews,
